model,clean_search_nne,prior_search,clean_stagnation,prior_stagnation,clean_churn,prior_patch_churn,clean_no_postedit_test,prior_verif_gap,clean_oversized_narrow,prior_context_bloat
opus-4.5,0.617,0.06,0.008,0.02,0.115,0.69,0.504,0.57,0.306,0.57
sonnet-3.5,0.424,0.72,0.148,0.26,0.044,0.74,0.896,0.82,0.045,0.67
opus-4.7,0.689,0.33,0.009,0.02,0.362,0.33,0.444,0.65,0.066,0.05
SWEagentLM-32B,0.614,0.82,0.316,0.38,0.327,0.45,0.978,0.82,0.584,0.0
